Au (Gold) - Johnson and Christy 1

wavelength (nm), Re(eps)
219.856, -0.418151
219.668, -0.414633
219.48, -0.411119
219.293, -0.40761
219.106, -0.404106
218.919, -0.400606
218.733, -0.397111
218.546, -0.39362
218.361, -0.390135
218.175, -0.386654
217.99, -0.383177
217.805, -0.379706
217.621, -0.376239
217.437, -0.372777
217.253, -0.36932
217.069, -0.365868
216.886, -0.362421
216.703, -0.358978
216.52, -0.355541
216.405, -0.353371
216.338, -0.352108
216.156, -0.348681
215.974, -0.345258
215.793, -0.34184
215.612, -0.338428
215.431, -0.33502
215.25, -0.331617
215.07, -0.328219
214.89, -0.324827
214.71, -0.321439
214.531, -0.318057
214.352, -0.314679
214.173, -0.311307
213.995, -0.30794
213.817, -0.304578
213.639, -0.301221
213.462, -0.297869
213.284, -0.294523
213.107, -0.291181
212.931, -0.287845
212.754, -0.284514
212.578, -0.281188
212.403, -0.277867
212.227, -0.274552
212.052, -0.271241
211.966, -0.269615
211.877, -0.267936
211.702, -0.264636
211.528, -0.261342
211.354, -0.258053
211.18, -0.254769
211.007, -0.25149
210.834, -0.248216
210.661, -0.244948
210.488, -0.241685
210.316, -0.238428
210.144, -0.235175
209.972, -0.231928
209.8, -0.228686
209.629, -0.22545
209.458, -0.222219
209.288, -0.218993
209.117, -0.215773
208.947, -0.212557
208.777, -0.209348
208.608, -0.206143
208.439, -0.202944
208.27, -0.19975
208.101, -0.196562
207.932, -0.193379
207.764, -0.190201
207.596, -0.187028
207.429, -0.183861
207.358, -0.182522
207.261, -0.1807
207.094, -0.177543
206.928, -0.174392
206.761, -0.171247
206.595, -0.168106
206.429, -0.164971
206.263, -0.161842
206.097, -0.158718
205.932, -0.155599
205.767, -0.152485
205.603, -0.149377
205.438, -0.146274
205.274, -0.143177
205.11, -0.140085
204.946, -0.136998
204.783, -0.133917
204.62, -0.130841
204.457, -0.12777
204.294, -0.124705
204.132, -0.121645
203.97, -0.11859
203.808, -0.115541
203.647, -0.112497
203.485, -0.109459
203.324, -0.106425
203.279, -0.105567
