Ag (Silver) - Johnson and Christy

wavelength (nm), Re(eps)
252.237, -0.349991
251.99, -0.357408
251.743, -0.364717
251.497, -0.37192
251.251, -0.379017
251.005, -0.386008
250.76, -0.392894
250.515, -0.399675
250.271, -0.406351
250.028, -0.412923
249.785, -0.419392
249.542, -0.425757
249.3, -0.432019
249.058, -0.43818
248.996, -0.43975
248.817, -0.444239
248.576, -0.450197
248.336, -0.456054
248.096, -0.461811
247.857, -0.467469
247.618, -0.473028
247.379, -0.478489
247.141, -0.483853
246.904, -0.48912
246.667, -0.49429
246.43, -0.499365
246.194, -0.504345
245.958, -0.509231
245.723, -0.514023
245.488, -0.518723
245.254, -0.52333
245.02, -0.527846
244.786, -0.532271
244.553, -0.536606
244.321, -0.540852
244.089, -0.545009
243.857, -0.549078
243.626, -0.55306
243.395, -0.556956
243.164, -0.560766
242.934, -0.564491
242.705, -0.568132
242.661, -0.568812
242.476, -0.57169
242.247, -0.575165
242.019, -0.578558
241.791, -0.58187
241.564, -0.585102
241.337, -0.588253
241.11, -0.591326
240.884, -0.594321
240.658, -0.597238
240.433, -0.600079
240.208, -0.602844
239.984, -0.605534
239.76, -0.608149
239.536, -0.61069
239.313, -0.613159
239.091, -0.615556
238.868, -0.617881
238.646, -0.620135
238.425, -0.62232
238.204, -0.624435
237.983, -0.626482
237.763, -0.628461
237.543, -0.630373
237.323, -0.632219
237.104, -0.633999
237.094, -0.634085
236.886, -0.635715
236.668, -0.637366
236.45, -0.638954
236.232, -0.640479
236.015, -0.641942
235.799, -0.643343
235.582, -0.644685
235.366, -0.645966
235.151, -0.647188
234.936, -0.648351
234.721, -0.649456
234.507, -0.650504
234.293, -0.651496
234.08, -0.652432
233.867, -0.653312
233.654, -0.654138
233.442, -0.65491
233.23, -0.655628
233.018, -0.656294
232.807, -0.656908
232.596, -0.657471
232.386, -0.657983
232.176, -0.658444
231.966, -0.658856
231.757, -0.659219
231.548, -0.659534
231.343, -0.659797
231.339, -0.659801
231.131, -0.660021
230.923, -0.660195
230.716, -0.660322
230.509, -0.660404
230.302, -0.660441
230.096, -0.660434
229.89, -0.660384
229.685, -0.66029
229.479, -0.660154
229.275, -0.659975
229.07, -0.659755
228.866, -0.659495
228.662, -0.659194
228.459, -0.658852
228.256, -0.658472
228.053, -0.658053
227.851, -0.657595
227.649, -0.6571
227.448, -0.656567
227.246, -0.655998
227.045, -0.655392
226.845, -0.65475
226.645, -0.654073
226.445, -0.653361
226.277, -0.652736
226.246, -0.652614
226.047, -0.651834
225.848, -0.65102
225.649, -0.650173
225.451, -0.649294
225.254, -0.648382
225.056, -0.647439
224.859, -0.646465
224.663, -0.645459
224.466, -0.644424
224.27, -0.643358
224.075, -0.642263
223.879, -0.641138
223.685, -0.639985
223.49, -0.638804
223.296, -0.637595
223.102, -0.636358
222.908, -0.635094
222.715, -0.633803
222.522, -0.632486
222.329, -0.631144
222.137, -0.629775
221.945, -0.628381
221.754, -0.626963
221.562, -0.62552
221.429, -0.624494
221.371, -0.624052
221.181, -0.622561
220.991, -0.621047
220.801, -0.619509
220.611, -0.617949
220.422, -0.616367
220.233, -0.614762
220.044, -0.613135
219.856, -0.611488
219.668, -0.609819
219.48, -0.608129
219.293, -0.606419
219.106, -0.604689
218.919, -0.602938
218.733, -0.601169
218.546, -0.59938
218.361, -0.597572
218.175, -0.595746
217.99, -0.593901
217.805, -0.592038
217.621, -0.590158
217.437, -0.58826
217.253, -0.586344
217.069, -0.584412
216.886, -0.582463
216.703, -0.580498
216.52, -0.578516
216.405, -0.577256
216.338, -0.576519
216.156, -0.574506
215.974, -0.572478
215.793, -0.570435
215.612, -0.568376
215.431, -0.566303
215.25, -0.564216
215.07, -0.562115
214.89, -0.559999
214.71, -0.55787
214.531, -0.555728
214.352, -0.553572
214.173, -0.551404
213.995, -0.549222
213.817, -0.547028
213.639, -0.544822
213.462, -0.542603
213.284, -0.540373
213.107, -0.538131
212.931, -0.535878
212.754, -0.533613
212.578, -0.531337
212.403, -0.52905
212.227, -0.526753
212.052, -0.524445
211.966, -0.523306
211.877, -0.522127
211.702, -0.519798
211.528, -0.51746
211.354, -0.515112
211.18, -0.512754
211.007, -0.510387
210.834, -0.508011
210.661, -0.505626
210.488, -0.503232
210.316, -0.500829
210.144, -0.498417
209.972, -0.495998
209.8, -0.49357
209.629, -0.491134
209.458, -0.48869
209.288, -0.486239
209.117, -0.48378
208.947, -0.481313
208.777, -0.478839
208.608, -0.476359
208.439, -0.473871
208.27, -0.471376
208.101, -0.468875
207.932, -0.466368
207.764, -0.463853
207.596, -0.461333
207.429, -0.458807
207.358, -0.457735
207.261, -0.456274
207.094, -0.453736
206.928, -0.451192
206.761, -0.448643
206.595, -0.446088
206.429, -0.443527
206.263, -0.440962
206.097, -0.438392
205.932, -0.435816
205.767, -0.433236
205.603, -0.430651
205.438, -0.428061
205.274, -0.425467
205.11, -0.422869
204.946, -0.420266
204.783, -0.41766
204.62, -0.415049
204.457, -0.412434
204.294, -0.409816
204.132, -0.407194
203.97, -0.404568
203.808, -0.401939
203.647, -0.399306
203.485, -0.39667
203.324, -0.394031
203.279, -0.393283
203.163, -0.391389
203.003, -0.388744
202.843, -0.386096
202.683, -0.383445
202.523, -0.380791
202.363, -0.378135
202.204, -0.375476
202.045, -0.372815
201.886, -0.370151
201.728, -0.367486
201.569, -0.364818
201.411, -0.362147
201.253, -0.359475
201.096, -0.356801
200.939, -0.354125
200.782, -0.351448
200.625, -0.348768
200.468, -0.346088
200.312, -0.343405
200.156, -0.340721
200, -0.338036


Ag (Silver) - Johnson and Christy

wavelength (nm), Re(eps)
1937.5, -198.189
1610.39, -140.4
1393.26, -101.993
1215.69, -77.9255
1087.72, -60.7604
984.127, -48.8865
892.086, -39.8397
821.192, -32.7969
756.098, -27.4777
704.545, -23.4046
659.574, -20.0948
616.915, -17.2355
582.16, -14.8817
548.673, -12.8558
521.008, -11.0465
496, -9.56415
471.483, -8.22866
450.909, -7.05805
430.556, -6.05984
413.333, -5.17312
397.436, -4.2824
381.538, -3.472
367.953, -2.74075
354.286, -2.00356
342.541, -1.28456
331.551, -0.658341
320.413, 0.502436
310.777, 0.897444
300.971, 0.866304
292.453, 0.584179
284.404, 0.390404
276.169, 0.216539
268.98, 0.022016
261.603, -0.101269
255.144, -0.171549
248.996, -0.213221
242.661, -0.208884
237.094, -0.230289
231.343, -0.203049
226.277, -0.218736
221.429, -0.238464
216.405, -0.296496
211.966, -0.315625
207.358, -0.328944
203.279, -0.357116
199.357, -0.331129
195.276, -0.320625
191.654, -0.307824
187.879, -0.324044


