Ag (Silver) - Johnson and Christy

wavelength (nm), Im(eps)
303.136, 2.25061
302.778, 2.27327
302.422, 2.29595
302.066, 2.31863
301.711, 2.34131
301.357, 2.36398
301.004, 2.38664
300.971, 2.38879
300.652, 2.40928
300.301, 2.43191
299.95, 2.4545
299.6, 2.47707
299.251, 2.4996
298.903, 2.52208
298.556, 2.54452
298.209, 2.56691
297.863, 2.58925
297.518, 2.61152
297.174, 2.63372
296.831, 2.65585
296.488, 2.67791
296.146, 2.69988
295.805, 2.72177
295.465, 2.74356
295.126, 2.76525
294.787, 2.78684
294.449, 2.80833
294.112, 2.8297
293.776, 2.85096
293.44, 2.87209
293.105, 2.89309
292.771, 2.91396
292.453, 2.93376
292.438, 2.93469
292.105, 2.95529
291.773, 2.97573
291.442, 2.99602
291.112, 3.01616
290.783, 3.03613
290.454, 3.05595
290.126, 3.07559
289.799, 3.09505
289.472, 3.11434
289.146, 3.13344
288.821, 3.15236
288.497, 3.17109
288.173, 3.18962
287.85, 3.20795
287.528, 3.22608
287.207, 3.24401
286.886, 3.26172
286.566, 3.27922
286.246, 3.29651
285.928, 3.31357
285.61, 3.33041
285.293, 3.34703
284.976, 3.36341
284.66, 3.37956
284.404, 3.39255
284.345, 3.39548
284.031, 3.41116
283.717, 3.4266
283.404, 3.4418
283.092, 3.45675
282.78, 3.47146
282.469, 3.48591
282.159, 3.50012
281.85, 3.51407
281.541, 3.52777
281.232, 3.54121
280.925, 3.55439
280.618, 3.56732
280.312, 3.57998
280.006, 3.59238
279.701, 3.60452
279.397, 3.6164
279.094, 3.62801
278.791, 3.63936
278.488, 3.65044
278.187, 3.66126
277.886, 3.67181
277.586, 3.6821
277.286, 3.69211
276.987, 3.70187
276.689, 3.71135
276.391, 3.72057
276.169, 3.72728
276.094, 3.72953
275.798, 3.73822
275.502, 3.74664
275.207, 3.7548
274.912, 3.7627
274.618, 3.77033
274.325, 3.77771
274.032, 3.78482
273.74, 3.79168
273.449, 3.79827
273.158, 3.80461
272.868, 3.81069
272.578, 3.81652
272.29, 3.8221
272.001, 3.82743
271.714, 3.8325
271.426, 3.83733
271.14, 3.84191
270.854, 3.84625
270.569, 3.85035
270.284, 3.85421
270, 3.85783
269.717, 3.86121
269.434, 3.86436
269.151, 3.86728
268.98, 3.86894
268.87, 3.86997
268.588, 3.87243
268.308, 3.87467
268.028, 3.87668
267.749, 3.87848
267.47, 3.88006
267.192, 3.88142
266.914, 3.88257
266.637, 3.88352
266.361, 3.88425
266.085, 3.88478
265.809, 3.88511
265.535, 3.88524
265.26, 3.88517
264.987, 3.88491
264.714, 3.88446
264.441, 3.88382
264.169, 3.88299
263.898, 3.88199
263.627, 3.8808
263.357, 3.87943
263.087, 3.87789
262.818, 3.87618
262.549, 3.8743
262.281, 3.87225
262.014, 3.87004
261.747, 3.86767
261.603, 3.86633
261.48, 3.86514
261.214, 3.86246
260.949, 3.85962
260.684, 3.85664
260.42, 3.85351
260.156, 3.85023
259.893, 3.84681
259.63, 3.84326
259.368, 3.83956
259.107, 3.83574
258.846, 3.83178
258.585, 3.8277
258.325, 3.82349
258.065, 3.81915
257.806, 3.8147
257.548, 3.81013
257.29, 3.80545
257.033, 3.80065
256.776, 3.79574
256.519, 3.79073
256.263, 3.78561
256.008, 3.78038
255.753, 3.77506
255.499, 3.76964
255.245, 3.76412
255.144, 3.7619
254.991, 3.75851
254.739, 3.75281
254.486, 3.74703
254.234, 3.74115
253.983, 3.73519
253.732, 3.72915
253.482, 3.72303
253.232, 3.71683
252.983, 3.71056
252.734, 3.70421
252.485, 3.69779
252.237, 3.6913
251.99, 3.68475
251.743, 3.67813
251.497, 3.67144
251.251, 3.6647
251.005, 3.65789
250.76, 3.65103
250.515, 3.64411
250.271, 3.63714
250.028, 3.63012
249.785, 3.62304
249.542, 3.61592
249.3, 3.60875
249.058, 3.60153
248.996, 3.59967
248.817, 3.59427
248.576, 3.58697
248.336, 3.57963
248.096, 3.57225
247.857, 3.56483
247.618, 3.55737
247.379, 3.54988
247.141, 3.54236
246.904, 3.53481
246.667, 3.52722
246.43, 3.51961
246.194, 3.51197
245.958, 3.5043
245.723, 3.49661
245.488, 3.48889
245.254, 3.48116
245.02, 3.4734
244.786, 3.46562
244.553, 3.45782
244.321, 3.45
244.089, 3.44217
243.857, 3.43432
243.626, 3.42646
243.395, 3.41858
243.164, 3.4107
242.934, 3.4028
242.705, 3.39489
242.661, 3.39339
242.476, 3.38697
242.247, 3.37904
242.019, 3.37111
241.791, 3.36317
241.564, 3.35522
241.337, 3.34727
241.11, 3.33931
240.884, 3.33135
240.658, 3.32339
240.433, 3.31543
240.208, 3.30747
239.984, 3.29951
239.76, 3.29154
239.536, 3.28358
239.313, 3.27563
239.091, 3.26767
238.868, 3.25972
238.646, 3.25177
238.425, 3.24383
238.204, 3.23589
237.983, 3.22796
237.763, 3.22004
237.543, 3.21212
237.323, 3.20421
237.104, 3.19631
237.094, 3.19592
236.886, 3.18842
236.668, 3.18053
236.45, 3.17266
236.232, 3.1648
236.015, 3.15695
235.799, 3.14911
235.582, 3.14128
235.366, 3.13346
235.151, 3.12566
234.936, 3.11787
234.721, 3.1101
234.507, 3.10233
234.293, 3.09458
234.08, 3.08685
233.867, 3.07913
233.654, 3.07143
233.442, 3.06374
233.23, 3.05607
233.018, 3.04842
232.807, 3.04078
232.596, 3.03316
232.386, 3.02555
232.176, 3.01797
231.966, 3.0104
231.757, 3.00285
231.548, 2.99532
231.343, 2.98795
231.339, 2.9878
231.131, 2.98031
230.923, 2.97283
230.716, 2.96538
230.509, 2.95794
230.302, 2.95052
230.096, 2.94313
229.89, 2.93575
229.685, 2.92839
229.479, 2.92105
229.275, 2.91374
229.07, 2.90644
228.866, 2.89917
228.662, 2.89192
228.459, 2.88468
228.256, 2.87747
228.053, 2.87029
227.851, 2.86312
227.649, 2.85597
227.448, 2.84885
227.246, 2.84175
227.045, 2.83467
226.845, 2.82761
226.645, 2.82057
226.445, 2.81356
226.277, 2.80768
226.246, 2.80657
226.047, 2.7996
225.848, 2.79266
225.649, 2.78574
225.451, 2.77884
225.254, 2.77196
225.056, 2.7651
224.859, 2.75827
224.663, 2.75146
224.466, 2.74468
224.27, 2.73792
224.075, 2.73118
223.879, 2.72446
223.685, 2.71777
223.49, 2.7111
223.296, 2.70445
223.102, 2.69783
222.908, 2.69122
222.715, 2.68465
222.522, 2.67809
222.329, 2.67156
222.137, 2.66505
221.945, 2.65857
221.754, 2.65211
221.562, 2.64567
221.429, 2.64118
221.371, 2.63926
221.181, 2.63286
220.991, 2.6265
220.801, 2.62015
220.611, 2.61383
220.422, 2.60753
220.233, 2.60125
220.044, 2.595
219.856, 2.58877
219.668, 2.58257
219.48, 2.57638
219.293, 2.57022
219.106, 2.56409
218.919, 2.55797
218.733, 2.55188
218.546, 2.54581
218.361, 2.53977
218.175, 2.53374
217.99, 2.52774
217.805, 2.52177
217.621, 2.51581
217.437, 2.50988
217.253, 2.50397
217.069, 2.49808
216.886, 2.49222
216.703, 2.48637
216.52, 2.48055
216.405, 2.47689
216.338, 2.47476
216.156, 2.46898
215.974, 2.46323
215.793, 2.4575
215.612, 2.45179
215.431, 2.4461
215.25, 2.44044
215.07, 2.43479
214.89, 2.42917
214.71, 2.42357
214.531, 2.418
214.352, 2.41244
214.173, 2.4069
213.995, 2.40139
213.817, 2.3959
213.639, 2.39043
213.462, 2.38498
213.284, 2.37955
213.107, 2.37415
212.931, 2.36876
212.754, 2.3634
212.578, 2.35805
212.403, 2.35273
212.227, 2.34743
212.052, 2.34215
211.966, 2.33956
211.877, 2.33689
211.702, 2.33165
211.528, 2.32643
211.354, 2.32123
211.18, 2.31605
211.007, 2.31089
210.834, 2.30576
210.661, 2.30064
210.488, 2.29554
